tanggal,kode_barang,nama_barang,quantity,supplier
2025-12-02,GEN-1A0033,V-Belt Standard Piaggio,3,PT Piaggio Pratama
2025-12-02,GEN-638853,Busi Standard NGK CR8EB Piaggio,3,PT Piaggio Pratama
2025-12-02,GEN-651356,Kampas Rem Depan Standard Piaggio,7,PT Piaggio Pratama
2025-12-02,GEN-82635R,Filter Oli Mesin Piaggio,19,PT Piaggio Pratama
2025-12-02,GEN-B01807,Filter Udara Standard Piaggio,4,PT Piaggio Pratama
2025-12-02,GEN-CM1691,Roller Assembly Standard Piaggio,9,PT Piaggio Pratama
2025-12-05,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),25,CV Abadi Karunia
2025-12-05,MOD-CRBAR,Crashbar Pelindung Body Vespa (Set),2,CV Abadi Karunia
2025-12-05,MOD-FLFRX,Filter Udara Racing Ferrox Replacement,2,CV Abadi Karunia
2025-12-05,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,7,CV Abadi Karunia
2025-12-05,MOD-HKCNC,Gantungan Barang (Hook) CNC Aluminium,4,CV Abadi Karunia
2025-12-05,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,17,CV Abadi Karunia
2025-12-05,MOD-KNSHJ,Knalpot Racing Shijiro / Prospeed Bolt-On,3,CV Abadi Karunia
2025-12-05,MOD-LEDRG,Lampu LED Utama + Ring Bezel Black Matte,3,CV Abadi Karunia
2025-12-05,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,49,CV Abadi Karunia
2025-12-05,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),13,CV Abadi Karunia
2025-12-05,MOD-SBYSS,Shockbreaker Aftermarket YSS / Scarlet (Set),2,CV Abadi Karunia
2025-12-05,MOD-SPBAR,Spion Bar End / Tangkai Pendek Sporty,3,CV Abadi Karunia
2025-12-05,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,7,CV Abadi Karunia
2025-12-05,MOD-WSMCA,Flyscreen / Windshield Mika Retro,3,CV Abadi Karunia
2025-12-08,MOD-BSIRD,Busi Racing Iridium NGK / Denso,7,PT Mobility Indonesia
2026-01-03,GEN-1A0033,V-Belt Standard Piaggio,5,PT Piaggio Pratama
2026-01-03,GEN-638853,Busi Standard NGK CR8EB Piaggio,3,PT Piaggio Pratama
2026-01-03,GEN-651356,Kampas Rem Depan Standard Piaggio,14,PT Piaggio Pratama
2026-01-03,GEN-82635R,Filter Oli Mesin Piaggio,37,PT Piaggio Pratama
2026-01-03,GEN-B01807,Filter Udara Standard Piaggio,7,PT Piaggio Pratama
2026-01-03,GEN-CM1691,Roller Assembly Standard Piaggio,9,PT Piaggio Pratama
2026-01-06,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),26,CV Abadi Karunia
2026-01-06,MOD-CRBAR,Crashbar Pelindung Body Vespa (Set),3,CV Abadi Karunia
2026-01-06,MOD-FLFRX,Filter Udara Racing Ferrox Replacement,2,CV Abadi Karunia
2026-01-06,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,10,CV Abadi Karunia
2026-01-06,MOD-HKCNC,Gantungan Barang (Hook) CNC Aluminium,7,CV Abadi Karunia
2026-01-06,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,23,CV Abadi Karunia
2026-01-06,MOD-KNSHJ,Knalpot Racing Shijiro / Prospeed Bolt-On,5,CV Abadi Karunia
2026-01-06,MOD-LEDRG,Lampu LED Utama + Ring Bezel Black Matte,4,CV Abadi Karunia
2026-01-06,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,96,CV Abadi Karunia
2026-01-06,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),27,CV Abadi Karunia
2026-01-06,MOD-SBYSS,Shockbreaker Aftermarket YSS / Scarlet (Set),3,CV Abadi Karunia
2026-01-06,MOD-SPBAR,Spion Bar End / Tangkai Pendek Sporty,2,CV Abadi Karunia
2026-01-06,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,10,CV Abadi Karunia
2026-01-06,MOD-WSMCA,Flyscreen / Windshield Mika Retro,4,CV Abadi Karunia
2026-01-09,MOD-BSIRD,Busi Racing Iridium NGK / Denso,7,PT Mobility Indonesia
