tanggal,no_nota,kode_barang,nama_barang,quantity
2025-12-13,MOG-251213-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-13,MOG-251213-01,GEN-651356,Kampas Rem Depan Standard Piaggio,2
2025-12-13,MOG-251213-02,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2025-12-13,MOG-251213-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-13,MOG-251213-03,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-13,MOG-251213-03,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-14,MOG-251214-01,GEN-82635R,Filter Oli Mesin Piaggio,2
2025-12-14,MOG-251214-01,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),4
2025-12-14,MOG-251214-02,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2025-12-14,MOG-251214-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,3
2025-12-14,MOG-251214-03,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,4
2025-12-14,MOG-251214-03,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2025-12-14,MOG-251214-04,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2025-12-15,MOG-251215-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-15,MOG-251215-01,GEN-CM1691,Roller Assembly Standard Piaggio,1
2025-12-15,MOG-251215-02,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),3
2025-12-15,MOG-251215-02,MOD-CRBAR,Crashbar Pelindung Body Vespa (Set),1
2025-12-16,MOG-251216-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-16,MOG-251216-01,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-16,MOG-251216-02,MOD-RLBRT,Roller Racing BRT / Kawahara (Set),1
2025-12-16,MOG-251216-02,MOD-KNSHJ,Knalpot Racing Shijiro / Prospeed Bolt-On,1
2025-12-17,MOG-251217-01,GEN-82635R,Filter Oli Mesin Piaggio,1
2025-12-17,MOG-251217-01,MOD-BTPRT,Baut Proti Titanium Variasi (Eceran),2
2025-12-17,MOG-251217-02,GEN-82635R,Filter Oli Mesin Piaggio,1
2025-12-17,MOG-251217-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-18,MOG-251218-01,GEN-CM1691,Roller Assembly Standard Piaggio,1
2025-12-18,MOG-251218-01,GEN-B01807,Filter Udara Standard Piaggio,1
2025-12-18,MOG-251218-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-18,MOG-251218-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-19,MOG-251219-01,GEN-B01807,Filter Udara Standard Piaggio,1
2025-12-19,MOG-251219-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-19,MOG-251219-02,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-19,MOG-251219-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-19,MOG-251219-03,MOD-LEDRG,Lampu LED Utama + Ring Bezel Black Matte,1
2025-12-19,MOG-251219-03,MOD-BSIRD,Busi Racing Iridium NGK / Denso,1
2025-12-19,MOG-251219-04,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,1
2025-12-20,MOG-251220-01,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2025-12-20,MOG-251220-01,GEN-82635R,Filter Oli Mesin Piaggio,1
2025-12-20,MOG-251220-02,MOD-KMZEL,Kampas Rem Aftermarket Zelioni / Malossi,1
2025-12-20,MOG-251220-02,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2025-12-20,MOG-251220-03,MOD-BSIRD,Busi Racing Iridium NGK / Denso,1
2025-12-20,MOG-251220-03,GEN-82635R,Filter Oli Mesin Piaggio,1
2025-12-20,MOG-251220-04,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2025-12-21,MOG-251221-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,3
2025-12-21,MOG-251221-01,MOD-SPBAR,Spion Bar End / Tangkai Pendek Sporty,1
2025-12-21,MOG-251221-02,MOD-WSMCA,Flyscreen / Windshield Mika Retro,1
2025-12-21,MOG-251221-02,GEN-638853,Busi Standard NGK CR8EB Piaggio,1
2025-12-21,MOG-251221-03,MOD-WSMCA,Flyscreen / Windshield Mika Retro,1
2025-12-21,MOG-251221-03,MOD-HGDMN,Handgrip Aftermarket Harris / Domino,1
2025-12-22,MOG-251222-01,GEN-CM1691,Roller Assembly Standard Piaggio,1
2025-12-22,MOG-251222-01,MOD-OLIPM,Oli Mesin Ipone Scooter 10W-40 Premium,2
2025-12-22,MOG-251222-02,MOD-VBCVT,Paket V-Belt & Per CVT Racing Anti-Greged,1
2025-12-22,MOG-251222-02,GEN-82635R,Filter Oli Mesin Piaggio,2
2025-12-23,MOG-251223-01,GEN-CM1691,Roller Assembly Standard Piaggio,1
2025-12-23,MOG-251223-01,GEN-82635R,Filter Oli Mesin Piaggio,1
2025-12-23,MOG-251223-02,MOD-BSIRD,Busi Racing Iridium NGK / Denso,1
2025-12-23,MOG-251223-02,MOD-SBYSS,Shockbreaker Aftermarket YSS / Scarlet (Set),1
